Date,BA,BTC-USD,ETH-USD,LTC-USD,NVDA,TSLA,XRP-USD
2023-04-28,206.77999877929688,29340.26171875,1892.5128173828125,89.73138427734375,27.735454559326172,164.30999755859375,0.48027101159095764
2023-05-01,203.8699951171875,28091.568359375,1831.954833984375,86.74261474609375,28.89588737487793,161.8300018310547,0.4649659991264343
2023-05-02,203.25,28680.537109375,1870.789306640625,88.29579162597656,28.196226119995117,160.30999755859375,0.4649510085582733
2023-05-03,200.92999267578125,29006.30859375,1904.65185546875,88.89485168457031,27.788423538208008,160.61000061035156,0.4634940028190613
2023-05-04,197.0500030517578,28847.7109375,1877.7041015625,88.49445343017578,27.54854393005371,161.1999969482422,0.4615730047225952
2023-05-05,198.33999633789062,29534.384765625,1995.0609130859375,88.83866882324219,28.665996551513672,170.05999755859375,0.46779999136924744
2023-05-08,197.25999450683594,27694.2734375,1849.042724609375,77.8734359741211,29.13676643371582,171.7899932861328,0.42891499400138855
2023-05-09,201.8800048828125,27658.775390625,1848.6031494140625,80.0215835571289,28.557048797607422,169.14999389648438,0.4298880100250244
2023-05-10,200.83999633789062,27621.755859375,1842.4014892578125,81.06997680664062,28.870899200439453,168.5399932861328,0.43087300658226013
2023-05-11,201.83999633789062,27000.7890625,1796.4906005859375,81.04087829589844,28.564044952392578,172.0800018310547,0.42187899351119995
2023-05-12,200.6999969482422,26804.990234375,1808.019775390625,80.50313568115234,28.326162338256836,167.97999572753906,0.43071800470352173
2023-05-15,202.77000427246094,27192.693359375,1817.5499267578125,87.06656646728516,28.938865661621094,166.35000610351562,0.42756199836730957
2023-05-16,200.8699951171875,27036.650390625,1824.1214599609375,89.85771942138672,29.19873809814453,166.52000427246094,0.4414219856262207
2023-05-17,206.8699951171875,27398.802734375,1821.859619140625,93.88973236083984,30.163265228271484,173.86000061035156,0.4485889971256256
2023-05-18,207.24000549316406,26832.208984375,1801.728515625,90.54290771484375,31.66253089904785,176.88999938964844,0.46029898524284363
2023-05-19,205.49000549316406,26890.12890625,1812.5894775390625,91.70238494873047,31.248733520507812,180.13999938964844,0.4679819941520691
2023-05-22,205.91000366210938,26851.27734375,1817.5347900390625,90.94607543945312,31.160778045654297,188.8699951171875,0.46160098910331726
2023-05-23,202.60000610351562,27225.7265625,1854.380615234375,91.63233184814453,30.673017501831055,185.77000427246094,0.46542999148368835
2023-05-24,199.27000427246094,26334.818359375,1800.0999755859375,86.0003662109375,30.523090362548828,182.89999389648438,0.45360898971557617
2023-05-25,200.8699951171875,26476.20703125,1805.9537353515625,86.60067749023438,37.961456298828125,184.47000122070312,0.45373401045799255
2023-05-26,203.6300048828125,26719.291015625,1828.689697265625,87.26806640625,38.92698669433594,193.1699981689453,0.4691399931907654
2023-05-30,204.69000244140625,27702.349609375,1901.026611328125,92.32611083984375,40.0914192199707,201.16000366210938,0.5219380259513855
2023-05-31,205.6999969482422,27219.658203125,1874.1304931640625,90.53900909423828,37.815528869628906,203.92999267578125,0.5173860192298889
2023-06-01,207.9600067138672,26819.97265625,1862.201416015625,93.97233581542969,39.75058364868164,207.52000427246094,0.5073170065879822
2023-06-02,213.32000732421875,27249.58984375,1907.256591796875,95.4177474975586,39.307804107666016,213.97000122070312,0.5253869891166687
2023-06-05,208.77999877929688,25760.09765625,1811.828369140625,87.83460235595703,39.15187454223633,217.61000061035156,0.5103939771652222
2023-06-06,207.2899932861328,27238.783203125,1884.494873046875,90.92071533203125,38.63512420654297,221.30999755859375,0.5304639935493469
