Date,AAPL,BA,COST,GS,SLB,V,WMT
2023-06-20,183.81988525390625,212.3699951171875,503.9864807128906,319.19329833984375,45.976078033447266,224.2792510986328,50.52261734008789
2023-06-21,182.7766571044922,212.0800018310547,503.9088439941406,313.7402038574219,46.462493896484375,225.0517120361328,50.62093734741211
2023-06-22,185.7970733642578,205.61000061035156,508.35040283203125,308.4415588378906,45.56748962402344,226.18067932128906,51.043704986572266
2023-06-23,185.4791259765625,205.41000366210938,508.58319091796875,303.7413024902344,45.32427978515625,227.3294677734375,50.948665618896484
2023-06-26,184.0782012939453,205.5800018310547,507.5939636230469,301.4732360839844,46.0733642578125,224.1109161376953,50.81429672241211
2023-06-27,186.8502655029297,209.42999267578125,514.2950439453125,302.5251770019531,46.83217239379883,225.14083862304688,50.630767822265625
2023-06-28,188.0325927734375,210.72000122070312,516.6903076171875,302.7278747558594,47.26995086669922,225.75485229492188,50.906063079833984
2023-06-29,188.37042236328125,211.8300018310547,515.614013671875,311.8292541503906,47.1532096862793,232.05332946777344,50.56193923950195
2023-06-30,192.7222442626953,211.16000366210938,522.1016235351562,311.2983703613281,47.78554916381836,235.1827392578125,51.512359619140625
2023-07-03,191.2219696044922,210.9199981689453,524.6812133789062,315.2265319824219,48.12603759765625,235.6680145263672,51.846641540527344
2023-07-05,190.09922790527344,213.30999755859375,524.7686157226562,308.8951721191406,47.960655212402344,237.13368225097656,51.81714630126953
2023-07-06,190.57611083984375,212.6199951171875,521.1221313476562,302.0909118652344,47.78554916381836,236.5692138671875,51.489418029785156
2023-07-07,189.45339965820312,212.10000610351562,509.1747131347656,304.185302734375,51.900630950927734,234.16270446777344,50.303043365478516
2023-07-10,187.39671325683594,213.30999755859375,511.0754699707031,305.43994140625,52.16329574584961,235.85618591308594,50.758583068847656
2023-07-11,186.87013244628906,218.75999450683594,513.6259155273438,309.69622802734375,54.527278900146484,238.22305297851562,50.683204650878906
2023-07-12,188.5492706298828,217.11000061035156,521.7332763671875,315.0238342285156,55.14016342163086,239.8669891357422,50.8110237121582
2023-07-13,189.31430053710938,216.85000610351562,522.1695556640625,317.22442626953125,55.86005783081055,240.9563446044922,50.512786865234375
2023-07-14,189.46336364746094,213.1199951171875,530.1700439453125,314.8211975097656,55.577945709228516,240.80780029296875,50.68647766113281
2023-07-17,192.7421112060547,211.8699951171875,536.2408447265625,315.7959899902344,54.97478485107422,241.62977600097656,50.74875259399414
2023-07-18,192.48377990722656,211.57000732421875,536.8518676757812,325.5150146484375,55.4320182800293,238.44091796875,50.65699005126953
2023-07-19,193.844970703125,208.60000610351562,537.3560791015625,328.6806945800781,55.80168914794922,239.08462524414062,50.67337417602539
2023-07-20,191.8876495361328,213.61000061035156,540.119873046875,338.63134765625,55.704402923583984,237.3020477294922,51.610679626464844
2023-07-21,190.70529174804688,211.8000030517578,540.9926147460938,339.6929931640625,54.488365173339844,236.93563842773438,51.9023551940918
2023-07-24,191.51010131835938,215.8699951171875,546.8792114257812,346.42010498046875,55.47092819213867,238.4112091064453,52.20713806152344
2023-07-25,192.37448120117188,214.1199951171875,548.1011352539062,342.3374938964844,56.307559967041016,236.38104248046875,52.16453552246094
